School Building Code,School Name,School Type,Address,City,State,Zip,District Name,County,Grade Levels,Number of K-12 (All Grades) Students Enrolled ,Number of K-12 (All Grades) Students Complete,Number of K-12 (All Grades) Students with any Exemption,Number of K-12 (All Grades) Students with Medical Exemption,Number of K-12 (All Grades) Students with Personal Exemption,Number of K-12 (All Grades) Students with Religious Exemption,Number of K-12 (All Grades) Students with Religious Membership Exemption,Number of K-12 (All Grades) Students Exempt for Diphtheria Tetanus,Number of K-12 (All Grades) Students Exempt for Pertussis,Number of K-12 (All Grades) Students Exempt for Polio,Number of K-12 (All Grades) Students Exempt for MMR,Number of K-12 (All Grades) Students Exempt for Hep B,Number of K-12 (All Grades) Students Exempt for Varicella
4380,Harmony Elementary School,Public School,17404A NE 18th Street,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,K -5,736,606,67,4,53,8,2,59,59,63,60,45,67
4163,Hearthwood Elementary School,Public School,801 NE Hearthwood Blvd,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,K -5,453,362,36,1,31,3,2,25,25,24,25,26,34
4523,Heritage High School,Public School,7825 NE 130th Avenue,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,9-12,2066,323,80,4,74,2,0,64,45,54,68,58,0
4560,Illahee Elementary School,Public School,19401 SE 1st Street,Camas,WA,98607,Evergreen School District (Clark),CLARK,K -5,699,565,41,5,34,3,0,34,34,32,33,33,33
3994,Image Elementary School,Public School,4400 NE 122nd Avenue,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,K -5,640,488,62,3,55,2,2,53,54,53,54,46,58
1801,iQ Academy Washington,Public School,13501 NE 28th Street,Vancouver,WA,98682,Evergreen School District (Clark),CLARK,7-12,494,21,9,0,6,3,0,7,7,6,7,5,1
4042,Legacy High School,Public School,2205 E 138th Avenue,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,9-12,236,17,7,0,5,2,0,6,2,4,7,2,0
3618,Marrion Elementary School,Public School,10119 NE 14th Street,Vancouver,WA,98664,Evergreen School District (Clark),CLARK,K -5,540,429,17,1,15,0,1,12,12,12,12,10,19
2829,Mill Plain Elementary School,Public School,400 SE 164th Avenue,Vancouver,WA,98684,Evergreen School District (Clark),CLARK,K -5,490,383,42,3,33,5,2,37,37,36,38,32,40
4162,Mountain View High School,Public School,1500 SE Blairmont Dr,Vancouver,WA,98683,Evergreen School District (Clark),CLARK,9-12,1839,424,67,6,53,6,4,46,38,40,51,49,0
