"school_year"	"school_code"	"school_name"	"school_type"	"school_city"	"school_state"	"school_zip"	"school_county"	"school_district"	"district_code"	"grade_levels"	"reported"	"enrolled"	"total_exemptions"	"medical_exempt"	"personal_exempt"	"religious_exempt"	"exempt_DTTd"	"exempt_pertussis"	"exempt_polio"	"exempt_MMR"	"exempt_hepB"	"exempt_varicella"	"percent_exempt_DTTd"	"percent_exempt_pertussis"	"percent_exempt_polio"	"percent_exempt_MMR"	"percent_exempt_hepB"	"percent_exempt_varicella"	"percent_exempt"
"29"	"2011"	"4256"	"Alcott Elementary"	"Public School"	"Redmond"	"WA"	"98053"	"KING"	"Lake Washington School District"	17414	"K-6"	"Yes"	720	34	3	31	0	15	16	14	19	17	17	2.08	2.22	1.94	2.64	2.36	2.36	4.72
"30"	"2011"	"8580"	"Alcuin School"	"Private School"	"Seattle"	"WA"	"98119"	"KING"	"Seattle Public Schools"	17001	"K-1"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	"2011"	"1771"	"Aldercrest Annex Home Exchange"	"Public School"	"Shoreline"	"WA"	"98155"	"KING"	"Shoreline School District"	17412	"K-10"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	"2011"	"3200"	"Alderwood Elementary School"	"Public School"	"Bellingham"	"WA"	"98225"	"WHATCOM"	"Bellingham School District"	37501	"K-5"	"Yes"	321	25	2	23	0	11	11	10	11	13	13	3.43	3.43	3.12	3.43	4.05	4.05	7.79
"33"	"2011"	"3560"	"Alderwood Middle School"	"Public School"	"LYNNWOOD"	"WA"	"98036"	"SNOHOMISH"	"Edmonds School District"	31015	"7-8"	"Yes"	709	46	4	39	3	32	35	22	19	24	0	4.51	4.94	3.1	2.68	3.39	0	6.49
"34"	"2011"	"1825"	"Alfaretta House"	"Public School"	"Lakewood"	"WA"	"98499"	"PIERCE"	"Clover Park School District"	27400	"11-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	"2011"	"8946"	"\"Alger Learning Center, Inc.\""	"Private School"	"Sedro-Woolley"	"WA"	"98284"	"WHATCOM"	"Mount Baker School District"	37507	"K-12"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	"2011"	"2181"	"Alki Elementary School"	"Public School"	"SEATTLE"	"WA"	"98116"	"KING"	"Seattle Public Schools"	17001	"K-5"	"Yes"	355	20	3	17	0	10	10	11	5	15	2	2.82	2.82	3.1	1.41	4.23	0.56	5.63
"37"	"2011"	"4406"	"Alki Middle School"	"Public School"	"VANCOUVER"	"WA"	"98685"	"CLARK"	"Vancouver School District"	6037	"6-8"	"Yes"	733	46	3	41	2	24	28	19	24	20	0	3.27	3.82	2.59	3.27	2.73	0	6.28
"38"	"2011"	"8196"	"All Saints Catholic School"	"Private School"	"Spokane"	"WA"	"99223"	"SPOKANE"	"Spokane School District"	32081	"K-8"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
