School Code	School Name	School Type	School District	County	Reported?	Data Source	Grade Levels	K-12 Number Enrolled	K-12 Number Complete	K-12 Number Exempt	K-12 Number Exempt: Medical	K-12 Number Exempt: Personal	K-12 Number Exempt: Religious	K-12 Number Exempt: Religious Member	K-12 Number Exempt: D/T	K-12 Number Exempt: Pertussis	K-12 Number Exempt: Polio	K-12 Number Exempt: MMR	K-12 Number Exempt: Hep B	K-12 Number Exempt: Varicella
2447	Cheney Middle School	Public	Cheney School District	SPOKANE	Yes	IIS	6-8	144	0	0	0	0	0	0	0	0	0	0	0	0
5163	Career Academy at Truman High School	Public	Federal Way School District	KING	Yes	IIS	9-12	144	127	6	0	1	5	0	5	5	5	6	5	4
8076	St. Therese School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	144	74	4	0	4	0	0	4	3	4	4	4	4
8460	Three Cedars Waldorf School	Private	Bellevue School District	KING	Yes	IIS	K-8	144	85	59	1	58	0	0	42	44	47	53	52	56
3375	Wishkah Valley Elementary/High School	Public	Wishkah Valley School District	GRAYS HARBOR	Yes	IIS	K -12	145	132	8	1	7	0	0	5	5	5	4	4	7
2750	Orcas Island High School	Public	Orcas Island School District	SAN JUAN	Yes	XLSCSV	9-12	145	58	27	0	26	1	0	16	15	20	20	23	0
8016	Three Rivers Christian School-Longview Elem	Private	Longview School District	COWLITZ	Yes	IIS	P-12	146	134	12	4	8	0	0	8	8	7	7	8	10
8537	Cedar Park Christian School—Everett Campus 	Private	Everett School District	SNOHOMISH	Yes	IIS	P-8	146	123	23	2	21	0	0	16	16	16	13	12	9
1983	Lynden Academy	Public	Lynden School District	WHATCOM	Yes	IIS	K -12	147	108	36	4	25	7	0	28	28	25	27	30	17
4287	Weston High School	Public	Arlington School District	SNOHOMISH	Yes	IIS	9-12	147	110	7	0	7	0	0	4	3	4	4	6	0
8613	Peace Lutheran School	Private	Central Kitsap School District	KITSAP	Yes	IIS	P-8	147	137	10	0	8	2	0	10	9	9	9	9	9
2487	Boston Harbor Elementary	Public	Olympia School District	THURSTON	Yes	IIS	K -5	149	123	17	3	14	0	0	10	9	13	13	8	13
2789	Republic Elementary School	Public	Republic School District	FERRY	Yes	IIS	K -5	149	113	36	1	35	0	0	8	8	9	12	11	30
8045	Hope Lutheran School	Private	Seattle Public Schools	KING	Yes	IIS		149	140	4	0	4	0	0	2	2	2	2	4	2
8190	Trinity Catholic School	Private	Spokane School District	SPOKANE	Yes	IIS	P-8	149	131	18	0	18	0	0	9	9	6	6	4	12
3874	Pinehurst K-8 School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	PK-8	149	87	27	0	26	0	1	22	22	23	23	23	28
2396	Pateros Elementary	Public	Pateros School District	OKANOGAN	Yes	IIS	K -6	150	125	23	0	14	9	0	11	8	10	14	13	14
2719	Ritzville Grade School	Public	Ritzville School District	ADAMS	Yes	IIS	K -5	150	120	19	1	18	0	0	6	6	6	7	5	19
2688	Paul Rumburg Elementary	Public	Entiat School District	CHELAN	Yes	Paper	PK-5	150	144	6	3	5	0	0	4	4	4	5	4	5
8894	Northwest Montessori	Private	Seattle Public Schools	KING	Yes	Paper	P-6	150	147	2	0	2	0	0	2	2	2	2	2	2
2472	Wilson Creek Elementary	Public	Wilson Creek School District	GRANT	Yes	IIS	K -6	151	133	1	0	1	0	0	1	1	1	1	1	1
2473	Wilson Creek High	Public	Wilson Creek School District	GRANT	Yes	IIS	7-12	151	133	1	0	1	0	0	1	1	1	1	1	1
3426	George Elementary	Public	Quincy School District	GRANT	Yes	IIS	K -4	151	124	0	0	0	0	0	0	0	0	0	0	0
8869	Whatcom Hills Waldorf	Private	Bellingham School District	WHATCOM	Yes	IIS	P-8	151	30	50	0	49	1	0	47	47	48	48	49	48
5104	Hayes Freedom High School	Public	Camas School District	CLARK	Yes	Paper	9-12	151	127	24	2	21	1	0	19	17	9	11	8	0
1942	Room Nine Community School (CASCADE K-8 COMMUNITY SCHOOL)	Public	Shoreline School District	KING	Yes	XLSCSV	K -8	151	109	41	6	37	2	0	22	22	30	31	28	32
2145	Grapeview Elementary & Middle School	Public	Grapeview School District	MASON	Yes	eFile	K -8	152	137	11	0	11	0	0	5	5	4	6	8	5
2241	Pomeroy Jr Sr High School	Public	Pomeroy School District	GARFIELD	Yes	IIS	7-12	152	149	3	1	2	0	0	3	3	0	0	0	0
8929	Pacific Crest Schools	Private	Seattle Public Schools	KING	Yes	IIS	P-8	152	135	17	0	17	0	0	13	13	13	14	17	10
3188	Darrington Sr High School	Public	Darrington School District	SNOHOMISH	Yes	XLSCSV	9-12	152	136	13	2	12	0	0	8	8	5	8	9	0
2423	Cusick Jr Sr High School	Public	Cusick School District	PEND OREILLE	Yes	IIS	7-12	153	138	15	0	15	0	0	11	11	12	9	9	0
5152	SULTAN ALTERNATIVE EDUCATION SCHOOL	Public	Sultan School District	SNOHOMISH	Yes	IIS	K-12	153	96	37	3	28	1	5	36	37	36	36	36	28
1707	Lincoln Hill High School	Public	Stanwood-Camano School District	SNOHOMISH	Yes	XLSCSV	9-12	153	137	10	1	9	0	0	6	2	2	7	6	0
3295	Naselle Jr Sr High Schools	Public	Naselle-Grays River Valley School District	PACIFIC	Yes	IIS	6-12	154	150	4	0	4	0	0	4	4	4	4	4	4
8022	St. Mary School	Private	Aberdeen School District	GRAYS HARBOR	Yes	IIS	P-8	154	154	3	0	3	0	0	3	3	3	3	3	3
8161	St. Nicholas School	Private	Peninsula School District	PIERCE	Yes	IIS	P-8	154	145	9	1	8	0	0	8	8	8	8	8	9
1617	Educational Opportunity Center	Public	Clarkston School District	ASOTIN	Yes	IIS	7-12	155	140	5	0	4	1	0	3	2	3	3	2	0
1688	Family Learning Center (Emerson K-12)	Public	Lake Washington School District	KING	Yes	IIS	K -12	155	90	46	5	39	3	0	40	37	36	39	39	18
3444	Willapa Elementary	Public	Willapa Valley School District	PACIFIC	Yes	IIS	K -5	155	152	3	1	2	0	0	3	3	3	3	3	3
1487	Cedar Tree Classical Christian School	Private	Battle Ground School District	CLARK	Yes	IIS	K-12	156	134	22	0	22	0	0	10	10	12	14	18	19
2620	Lyman Elementary School	Public	Sedro-Woolley School District	SKAGIT	Yes	IIS	K -6	156	144	12	1	11	0	0	2	2	4	4	4	6
8137	Holy Rosary School	Private	Tacoma School District	PIERCE	Yes	IIS	P-12	156	78	2	0	2	0	0	1	1	1	1	1	2
5171	Crossroads Alternative High School	Public	Granite Falls School District	SNOHOMISH	Yes	Paper	9-12	157	126	5	0	5	0	0	2	1	2	2	5	0
8406	Calvary Christian School	Private	Kennewick School District	BENTON	Yes	IIS	P-8	159	139	6	0	6	0	0	6	6	6	6	6	6
3467	Wahkiakum High School	Public	Wahkiakum School District	WAHKIAKUM	Yes	Paper	9-12	160	143	10	1	9	0	0	9	8	5	8	8	0
8312	St. Michael's Academy	Private	Orchard Prairie School District	SPOKANE	Yes	IIS	P-12	161	91	70	0	67	3	0	70	70	48	52	55	55
3145	Neah Bay Junior/ Senior High School	Public	Cape Flattery School District	CLALLAM	Yes	Paper	6-12	161	155	5	2	2	1	0	3	3	0	1	1	0
2310	Hood Canal Elem & Junior High	Public	Hood Canal School District	MASON	Yes	eFile	PK-8	162	60	14	1	12	1	0	13	13	13	13	10	14
8343	Amazing Grace Christian School	Private	Seattle Public Schools	KING	Yes	IIS	K-8	162	160	2	0	0	2	0	2	2	2	2	2	2
8612	Medina Academy	Private	Lake Washington School District	KING	Yes	IIS	P-7	163	157	3	0	3	0	0	1	1	1	3	1	3
1422	Bright Water School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	164	97	64	5	59	0	0	43	43	45	44	61	44
1972	New Start	Public	Highline School District	KING	Yes	IIS	9-12	164	159	1	0	1	0	0	1	1	1	2	0	0
4314	South Sound High School	Public	North Thurston Public Schools	THURSTON	Yes	IIS	9-12	165	157	4	0	4	0	0	0	0	1	1	4	0
4369	Winlock Middle School	Public	Winlock School District	LEWIS	Yes	Paper	6-8	165	112	20	1	19	0	0	18	18	13	10	8	4
8031	Christ the King School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	166	166	0	0	0	0	0	0	0	0	0	0	0
5155	Columbia Virtual Academy-Orient	Public	Orient School District	FERRY	Yes	Paper	K -8	166	69	50	0	36	14	0	43	44	44	45	48	42
5224	Yakima Satellite Alternative Programs	Public	Yakima School District	YAKIMA	Yes	IIS	8-12	167	133	4	2	2	0	0	1	0	0	4	1	0
8311	Community Christian Academy	Private	North Thurston Public Schools	THURSTON	Yes	IIS	P-8	167	155	5	0	5	0	0	4	4	4	4	4	5
8437	Kingspoint Christian School	Private	Pasco School District	FRANKLIN	Yes	IIS	K-12	167	149	18	0	17	1	0	13	13	13	10	11	10
1449	Providence Classical Christian School	Private	Edmonds School District	SNOHOMISH	Yes	IIS	P-12	168	140	8	0	8	0	0	8	8	8	8	8	8
3087	Pomeroy Elementary School	Public	Pomeroy School District	GARFIELD	Yes	IIS	K -6	168	163	6	2	4	0	0	4	2	3	2	2	3
8057	Seattle Hebrew Academy	Private	Seattle Public Schools	KING	Yes	IIS	P-8	168	148	20	0	20	0	0	11	10	12	14	20	16
2718	Highland Junior High School	Public	Highland School District	YAKIMA	Yes	XLSCSV	7-9	169	138	1	0	1	0	0	1	1	1	1	1	0
2810	Concrete High School	Public	Concrete School District	SKAGIT	Yes	IIS	9-12	170	149	12	0	12	0	0	9	8	4	6	7	0
8104	St. Mark School	Private	Shoreline School District	KING	Yes	IIS	P-8	170	163	7	0	7	0	0	6	6	6	6	6	7
8310	La Salle High School	Private	Union Gap School District	YAKIMA	Yes	IIS		170	170	0	0	0	0	0	0	0	0	0	0	0
1718	Explorer Academy	Public	South Kitsap School District	KITSAP	Yes	IIS	K -12	171	146	25	1	22	2	1	20	8	11	16	15	7
2162	Waterville High School	Public	Waterville School District	DOUGLAS	Yes	IIS	7-12	171	149	8	1	8	0	0	2	1	3	5	4	0
2588	Colton School	Public	Colton School District	WHITMAN	Yes	IIS	PK-12	171	160	5	0	5	0	0	5	5	5	5	5	5
8766	Chrysalis School (9-12)	Private	Northshore School District	KING	Yes	IIS	9-12	171	156	8	0	8	0	0	8	8	8	8	8	8
3936	Alternative High School	Public	Central Kitsap School District	KITSAP	Yes	IIS	10-12	172	156	7	1	6	0	0	5	5	3	2	3	3
8356	Moses Lake Christian Academy	Private	Moses Lake School District	GRANT	Yes	IIS	P-12	172	160	12	0	11	1	0	12	12	12	12	12	12
3216	Central Park Elementary	Public	Aberdeen School District	GRAYS HARBOR	Yes	Paper	K -6	172	157	7	0	7	0	0	4	4	4	3	4	6
2678	Morton Elementary School	Public	Morton School District	LEWIS	Yes	IIS	PK-6	173	147	7	0	7	0	0	4	4	4	4	2	6
8063	St. Benedict School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	173	159	9	3	6	0	0	0	5	6	5	6	8
8743	Hamlin Robinson School	Private	Seattle Public Schools	KING	Yes	IIS	1-8	173	173	9	3	7	0	0	4	3	6	6	9	5
8829	Cascade Christian Schools-Fredrickson Elementary	Private	Bethel School District	PIERCE	Yes	IIS	P-6	173	162	11	0	11	0	0	9	0	9	9	8	9
8115	Our Lady Star of the Sea School	Private	Bremerton School District	KITSAP	Yes	IIS	P-8	174	144	5	1	4	0	0	4	4	3	2	3	2
8616	Centralia Christian	Private	Centralia School District	LEWIS	Yes	Paper	P-8	174	169	2	0	2	0	0	2	2	2	2	2	2
2341	Nine Mile Falls Elementary	Public	Nine Mile Falls School District	SPOKANE	Yes	IIS	K -5	175	156	14	1	13	1	0	7	7	7	7	8	14
3541	John Sager Middle School	Public	College Place School District	WALLA WALLA	Yes	eFile	7-8	176	161	14	0	13	1	0	10	10	8	9	11	0
1434	St. Madeleine Sophie School	Private	Bellevue School District	KING	Yes	IIS	P-8	176	168	8	1	7	0	0	2	2	2	3	7	3
2542	Willapa Valley Middle-High	Public	Willapa Valley School District	PACIFIC	Yes	IIS	6-12	176	172	4	0	2	2	0	4	4	4	4	4	4
8216	Bellingham Christian School	Private	Bellingham School District	WHATCOM	Yes	IIS	P-8	176	143	33	0	33	0	0	15	15	14	13	18	26
1814	Northshore Networks	Public	Northshore School District	KING	Yes	XLSCSV	K -12	177	113	23	1	22	0	0	18	18	16	18	15	5
1547	Middle College High School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	9-12	177	126	10	1	9	0	0	4	6	3	6	7	33
1751	Cascade Parent Partnership Program	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K-12	177	83	53	3	46	4	0	45	46	40	45	45	49
3972	E B Walker High School	Public	Puyallup School District	PIERCE	Yes	IIS	8-12	178	132	6	0	6	0	0	2	2	2	3	3	1
8001	Bethlehem Lutheran School	Private	Kennewick School District	BENTON	Yes	IIS	P-8	178	172	1	0	1	0	0	1	1	1	1	1	1
1753	Homelink	Public	Lake Stevens School District	SNOHOMISH	Yes	Paper	K -12	178	141	32	2	30	0	0	20	16	19	22	19	15
8673	Evergreen Academy	Private	Northshore School District	KING	Yes	IIS	K-6	179	170	9	3	9	0	0	2	0	1	3	4	7
3811	Secondary Academy for Success	Public	Northshore School District	KING	Yes	XLSCSV	7-12	179	164	10	0	10	0	0	5	5	5	8	4	0
1656	10th Street School	Public	Marysville School District	SNOHOMISH	Yes	IIS	6-8	180	162	9	1	7	1	0	4	4	5	6	8	2
3508	Columbia High And Elementary	Public	Columbia (Stevens) School District	STEVENS	Yes	IIS	PK-12	180	166	13	0	13	0	0	12	12	11	10	9	5
3912	New Horizons High School	Public	Pasco School District	FRANKLIN	Yes	IIS	6-12	181	178	0	0	0	0	0	0	0	0	0	0	0
1655	Options Program	Public	Edmonds School District	SNOHOMISH	Yes	XLSCSV	7-12	181	38	10	0	9	1	0	5	3	4	6	8	0
3714	Lowell Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	PK-5	181	152	25	4	20	1	0	13	13	16	16	14	19
4213	Bridgeport Middle School	Public	Bridgeport School District	DOUGLAS	Yes	eFile	6-8	182	151	4	1	3	0	0	0	0	0	0	0	0
2466	Carbonado Historical School 19	Public	Carbonado School District	PIERCE	Yes	IIS	K -8	182	163	19	0	19	0	0	17	17	16	16	16	19
8205	St. John Vianney School	Private	Central Valley School District	SPOKANE	Yes	IIS	P-8	182	161	5	0	4	0	1	2	2	2	2	3	5
8309	Tri-Cities Prep	Private	Pasco School District	FRANKLIN	Yes	IIS	9-12	182	173	9	1	5	3	0	6	4	5	6	5	5
2585	Acme Elementary	Public	Mount Baker School District	WHATCOM	Yes	IIS	K -6	183	148	11	0	11	0	0	9	9	10	9	10	11
4071	Lincoln Alternative High School	Public	Walla Walla Public Schools	WALLA WALLA	Yes	IIS	9-12	183	169	8	2	5	1	0	6	6	2	2	5	0
8098	Holy Family School	Private	Auburn School District	KING	Yes	IIS	P-8	184	179	5	2	3	0	0	3	3	3	4	4	4
2859	White Pass Jr. Sr. High School	Public	White Pass School District	LEWIS	Yes	IIS	7-12	185	159	5	2	3	0	0	4	4	3	4	3	0
4388	Ten Mile Creek Elementary	Public	Meridian School District	WHATCOM	Yes	IIS	4-5	185	173	11	0	11	0	0	7	7	7	6	6	11
5183	Tacoma Business Academy	Public	Tacoma School District	PIERCE	Yes	XLSCSV	9-12	185	78	8	0	7	1	0	6	5	5	5	8	5
3380	Rainier View Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K-5	185	160	7	4	3	0	0	2	2	6	2	2	4
1737	Renaissance Alternative High School	Public	Bremerton School District	KITSAP	Yes	IIS	9-12	186	147	4	0	4	0	0	2	1	1	2	4	0
2261	Larrabee Elementary School	Public	Bellingham School District	WHATCOM	Yes	XLSCSV	PK-5	186	161	21	5	18	0	0	13	12	13	14	18	17
8404	Meridian School	Private	Seattle Public Schools	KING	Yes	IIS	K-5	187	175	12	1	11	0	0	2	2	3	5	7	10
3597	Winlock Senior High	Public	Winlock School District	LEWIS	Yes	Paper	9-12	187	131	9	0	9	0	0	9	8	7	7	7	0
3086	Mesa Elementary	Public	North Franklin School District	FRANKLIN	Yes	Paper	K -6	188	161	26	7	19	0	0	18	18	14	17	7	18
5148	Naches Valley Intermediate School	Public	Naches Valley School District	YAKIMA	Yes	XLSCSV	3-4	188	177	9	0	9	0	0	3	3	3	5	6	5
3402	Samish Elementary School	Public	Sedro-Woolley School District	SKAGIT	Yes	IIS	K -6	189	175	11	1	10	0	0	9	9	9	9	5	10
2666	Orondo Elementary and Middle School	Public	Orondo School District	DOUGLAS	Yes	Paper	PK-7	189	186	3	0	3	0	0	0	0	0	0	1	2
5028	Big Picture School	Public	Highline School District	KING	Yes	IIS	7-12	190	176	7	0	6	1	0	6	6	4	4	5	0
1740	Off Campus	Public	Central Kitsap School District	KITSAP	Yes	IIS	K -12	191	156	24	3	20	1	0	15	15	15	14	18	18
8061	St. Alphonsus School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	192	179	13	0	11	2	0	3	3	3	4	12	8
4247	ACES High School	Public	Mukilteo School District	SNOHOMISH	Yes	IIS	9-12	194	180	6	0	6	0	0	2	0	3	4	3	1
5014	New Market High School	Public	Tumwater School District	THURSTON	Yes	IIS	10-12	194	141	15	0	14	1	0	11	8	7	14	10	0
3317	Entiat Junior Senior High	Public	Entiat School District	CHELAN	Yes	Paper	6-12	194	176	11	3	8	0	0	10	6	9	13	13	2
2672	Grand Coulee Dam Middle School	Public	Grand Coulee Dam School District	GRANT	Yes	IIS	5-8	195	173	7	1	6	0	0	3	3	3	4	3	4
8622	Rainier Christian Schools-Kent View Elementary	Private	Auburn School District	KING	Yes	Paper	P-6	195	159	9	0	9	0	0	9	9	9	9	9	9
2749	Orcas Island Elementary School	Public	Orcas Island School District	SAN JUAN	Yes	XLSCSV	K -6	195	95	33	1	32	0	0	19	17	21	17	24	25
1742	Valley Academy Of Learning	Public	Wenatchee School District	CHELAN	Yes	IIS	K -12	196	160	32	1	30	1	0	24	24	18	20	21	16
2758	Mountainview Elementary	Public	West Valley School District (Yakima)	YAKIMA	Yes	IIS	K -4	196	182	13	1	9	3	0	8	8	9	8	7	13
8563	Jewish Day School	Private	Bellevue School District	KING	Yes	IIS	P-8	197	191	6	3	3	0	0	3	4	5	4	4	5
8826	Academy NW/Family Academy	Private	Arlington School District	SNOHOMISH	Yes	IIS	K-12	197	129	68	0	62	0	6	62	62	63	63	68	66
1596	Seattle World School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	6-12	197	64	6	2	4	0	0	3	3	1	2	13	10
8231	St. Paul Cathedral School	Private	Yakima School District	YAKIMA	Yes	IIS	P-8	198	169	4	0	4	0	0	1	1	1	2	2	2
8073	St. Matthew School	Private	Seattle Public Schools	KING	Yes	Paper	P-8	198	196	2	0	2	0	0	2	2	2	2	2	2
2694	Soap Lake Elementary	Public	Soap Lake School District	GRANT	Yes	IIS	K -5	199	164	15	1	11	3	0	11	11	13	11	13	11
3899	Discovery	Public	South Kitsap School District	KITSAP	Yes	IIS	9-13	199	178	17	0	17	0	0	11	8	2	13	13	0
5271	Vancouver iTech Preparatory	Public	Vancouver School District	CLARK	Yes	XLSCSV	6-12	199	177	16	0	16	1	0	7	8	7	9	12	4
8215	Assumption Catholic School	Private	Bellingham School District	WHATCOM	Yes	IIS	P-8	200	10	0	10	0	1	2	6	4	6	5	15	15
8086	St. Bernadette School	Private	Highline School District	KING	Yes	eFile	P-8	201	201	0	0	0	0	0	0	0	0	0	0	0
3204	Rosalia Elementary and Secondary School	Public	Rosalia School District	WHITMAN	Yes	IIS	PK-12	201	182	16	0	16	0	0	12	12	11	12	8	8
2744	Southside Elementary	Public	Southside School District	MASON	Yes	IIS	K -7	202	182	20	2	16	2	0	13	13	12	13	10	18
3066	Madison Elementary School	Public	Olympia School District	THURSTON	Yes	Paper	K -5	202	159	25	2	23	0	0	13	14	14	13	18	16
2697	Chimacum Elementary School	Public	Chimacum School District	JEFFERSON	Yes	IIS	3-5	203	172	28	0	27	1	0	10	10	10	14	13	18
8134	Concordia Lutheran School	Private	Tacoma School District	PIERCE	Yes	IIS	P-8	203	200	3	0	3	0	0	1	0	0	1	0	2
8559	Eton School	Private	Bellevue School District	KING	Yes	IIS	P-8	203	188	15	0	15	0	0	13	13	9	10	10	10
8875	Bellevue Christian Mack Elementary	Private	Northshore School District	KING	Yes	IIS	P-6	203	192	11	1	10	0	0	7	7	7	7	8	9
8523	Shorewood Christian School	Private	Highline School District	KING	Yes	IIS	P-12	204	149	23	0	20	3	0	18	13	18	17	20	20
2801	Lake Roosevelt High School	Public	Grand Coulee Dam School District	OKANOGAN	Yes	IIS	9-12	205	197	0	0	0	0	0	0	0	0	0	0	0
8097	Buena Vista SDA School	Private	Auburn School District	KING	Yes	IIS	K-8	205	188	17	1	16	0	0	13	13	12	12	11	16
2489	Sumas Elementary	Public	Nooksack Valley School District	WHATCOM	Yes	IIS	PK-5	206	177	22	3	19	0	0	7	7	6	9	8	17
3089	Soap Lake Middle and High School	Public	Soap Lake School District	GRANT	Yes	IIS	6-12	207	166	22	1	18	3	0	18	18	15	16	17	14
3932	Lewis and Clark High School	Public	Vancouver School District	CLARK	Yes	XLSCSV	9-12	207	197	8	0	6	2	0	7	6	3	6	8	0
2788	Bridgeport High School	Public	Bridgeport School District	DOUGLAS	Yes	eFile	9-12	208	175	3	2	1	0	0	0	0	0	0	0	0
3198	Kettle Falls Middle School	Public	Kettle Falls School District	STEVENS	Yes	IIS	5-8	210	185	25	3	22	0	2	11	11	11	13	15	7
2570	Walter Strom Middle School	Public	Cle Elum-Roslyn School District	KITTITAS	Yes	Paper	6-8	210	195	12	3	8	1	0	6	5	7	7	5	3
8054	Our Lady Of The Lake School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	211	197	9	0	9	0	0	2	2	4	6	7	6
8095	St. Thomas School	Private	Bellevue School District	KING	Yes	IIS	P-8	211	245	4	1	3	0	0	6	6	9	9	10	11
3023	Discovery Lab School	Public	Yakima School District	YAKIMA	Yes	IIS	1-8	212	168	9	1	8	0	0	5	5	5	6	5	5
8162	"Holy Rosary, Edmonds"	Private	Edmonds School District	SNOHOMISH	Yes	IIS	P-8	212	198	9	0	9	0	0	5	5	6	8	5	9
2214	South Bend High School	Public	South Bend School District	PACIFIC	Yes	IIS	7-12	213	206	7	0	7	0	0	7	7	4	5	4	0
8212	Assumption Grade School	Private	Walla Walla Public Schools	WALLA WALLA	Yes	IIS	P-8	213	204	7	0	7	0	0	7	7	7	7	7	7
2525	Chattaroy Elementary	Public	Riverside School District	SPOKANE	Yes	IIS	K -4	215	200	13	2	10	0	1	6	7	6	6	4	13
4095	Sterling Intermediate School	Public	Eastmont School District	DOUGLAS	Yes	IIS	7-7	215	214	2	1	1	0	0	2	2	2	2	2	2
2158	Rainier Middle School	Public	Rainier School District	THURSTON	Yes	IIS	6-8	216	170	22	2	18	2	0	20	20	19	19	18	4
4428	Everson Elementary	Public	Nooksack Valley School District	WHATCOM	Yes	IIS	PK-5	216	202	5	1	3	1	0	3	3	3	4	3	6
2728	North Beach Senior High School	Public	North Beach School District	GRAYS HARBOR	Yes	IIS	9-12	217	204	13	0	13	0	0	10	10	7	8	9	0
8105	Shoreline Christian School	Private	Shoreline School District	KING	Yes	IIS	P-12	217	202	15	0	15	0	0	10	10	12	13	10	10
8064	St. Catherine School	Private	Seattle Public Schools	KING	Yes	Paper	P-8	217	217	0	0	0	0	0	0	0	0	0	0	0
3012	Columbia Middle School	Public	Columbia (Walla Walla) School District	WALLA WALLA	Yes	IIS	6-8	218	204	14	1	12	1	0	12	12	7	8	6	2
8067	St. George School	Private	Seattle Public Schools	KING	Yes	IIS	P-8	218	218	0	0	0	0	0	0	0	0	0	0	0
8081	St. Monica School	Private	Mercer Island School District	KING	Yes	IIS	P-8	218	218	0	0	0	0	0	0	0	0	0	0	0
8741	Eastside Christian School	Private	Bellevue School District	KING	Yes	IIS	P-8	218	177	20	4	16	0	0	10	10	11	10	8	13
5240	Bellevue Big Picture School	Public	Bellevue School District	KING	Yes	Paper	6-12	218	189	29	15	14	0	0	16	16	13	16	15	20
1934	Loowit High School	Public	Kelso School District	COWLITZ	Yes	XLSCSV	8-12	218	212	2	0	1	1	0	2	1	1	2	2	0
3555	White Pass Elementary School	Public	White Pass School District	LEWIS	Yes	IIS	K -6	219	190	8	0	8	0	0	6	6	5	7	7	8
4552	Chimacum Creek Primary School	Public	Chimacum School District	JEFFERSON	Yes	IIS	K -2	219	132	18	2	14	2	0	11	11	12	11	11	17
8360	Valley Christian School	Private	Central Valley School District	SPOKANE	Yes	IIS	P-12	219	181	38	0	38	0	0	37	37	32	31	33	24
8432	Bertschi School	Private	Seattle Public Schools	KING	Yes	IIS	P-5	219	198	21	2	18	1	0	2	2	9	10	18	13
3403	Clear Lake Elementary School	Public	Sedro-Woolley School District	SKAGIT	Yes	IIS	K -6	222	171	49	3	43	3	0	32	31	36	33	31	38
3621	Lincoln Elementary	Public	Hoquiam School District	GRAYS HARBOR	Yes	IIS	PK-3	222	213	9	1	7	1	0	10	10	8	6	8	12
8646	St. Philomena School	Private	Highline School District	KING	Yes	IIS	K-8	222	147	1	0	1	0	0	0	1	0	1	0	1
8727	Brighton School	Private	Edmonds School District	SNOHOMISH	Yes	IIS	P-8	223	198	4	0	4	0	0	4	4	4	4	4	4
1755	West Valley City School	Public	West Valley School District (Spokane)	SPOKANE	Yes	IIS	5-8	224	186	24	1	21	2	0	14	14	13	14	17	11
2405	Valley School	Public	Valley School District	STEVENS	Yes	IIS	K -8	224	161	57	2	49	6	0	30	30	25	33	22	35
4580	Columbia Basin Secondary School	Public	Moses Lake School District	GRANT	Yes	IIS	6-12	224	191	10	0	10	0	0	4	3	6	7	6	0
3609	Darrington Elementary School	Public	Darrington School District	SNOHOMISH	Yes	eFile	PK-6	225	207	18	0	18	0	0	12	12	11	11	12	16
1463	Chestnut Hill Academy South Campus	Private	Bellevue School District	KING	Yes	IIS	K-8	225	224	1	0	1	0	0	1	1	1	1	1	1
2972	Central Elementary School	Public	Hoquiam School District	GRAYS HARBOR	Yes	IIS	4-5	225	206	12	1	11	0	0	5	5	4	5	4	10
3055	Evergreen Elementary	Public	Peninsula School District	PIERCE	Yes	IIS	PK-5	225	202	23	1	21	1	0	15	15	15	17	13	22
8013	Meadowglade SDA School	Private	Battle Ground School District	CLARK	Yes	IIS	K-8	225	214	9	4	5	0	0	5	5	7	5	7	9
4031	Finley Middle School	Public	Finley School District	BENTON	Yes	IIS	6-8	226	215	11	4	7	0	0	1	9	1	2	1	1
8856	Woodinville Montessori School	Private	Northshore School District	KING	Yes	IIS	P-9	227	192	35	2	33	0	0	17	17	19	25	28	26
4039	Ocean Park Elementary	Public	Ocean Beach School District	PACIFIC	Yes	Paper	K -6	227	200	18	3	14	1	0	9	7	9	8	8	16
1842	Spokane Valley Transition School	Public	West Valley School District (Spokane)	SPOKANE	Yes	IIS	9-12	228	125	13	1	12	0	0	6	4	4	9	11	0
3787	Ocean Shores Elementary	Public	North Beach School District	GRAYS HARBOR	Yes	IIS	K -6	229	211	18	1	12	2	3	13	13	12	12	15	13
4288	Choice Alternative School	Public	Shelton School District	MASON	Yes	IIS	K -12	229	202	12	0	12	0	0	10	8	6	10	8	0
2276	La Conner High School	Public	La Conner School District	SKAGIT	Yes	IIS	9-12	230	222	8	1	7	0	0	5	5	6	5	7	5
8157	Immaculate Conception/Our Lady of Perpetual Help	Private	Everett School District	SNOHOMISH	Yes	IIS	P-8	230	220	10	0	10	0	0	8	8	8	8	8	10
8772	Christian Faith School	Private	Federal Way School District	KING	Yes	IIS	P-12	230	191	36	5	30	1	0	31	33	27	25	31	33
2760	Peshastin Dryden Elementary	Public	Cascade School District	CHELAN	Yes	Paper	PK-2	230	209	21	0	21	0	0	11	11	17	14	19	18
