School Code	School Name	School Type	School District	County	Reported?	Data Source	Grade Levels	K-12 Number Enrolled	K-12 Number Complete	K-12 Number Exempt	K-12 Number Exempt: Medical	K-12 Number Exempt: Personal	K-12 Number Exempt: Religious	K-12 Number Exempt: Religious Member	K-12 Number Exempt: D/T	K-12 Number Exempt: Pertussis	K-12 Number Exempt: Polio	K-12 Number Exempt: MMR	K-12 Number Exempt: Hep B	K-12 Number Exempt: Varicella
3550	Lake Youngs Elementary School	Public	Kent School District	KING	Yes	IIS	K -6	458	428	21	4	16	1	0	15	15	15	14	13	13
5173	Sage Point Elementary School	Public	Moses Lake School District	GRANT	Yes	IIS	K -5	458	370	35	3	30	2	0	24	21	25	29	25	26
2315	Cashmere Middle School	Public	Cashmere School District	CHELAN	Yes	IIS	5-8	459	408	51	35	17	0	0	15	15	9	9	9	44
2821	Terrace Heights Elementary	Public	East Valley School District (Yakima)	YAKIMA	Yes	IIS	K -5	459	375	7	0	7	0	0	5	5	6	6	3	6
3971	Fircrest Elementary School	Public	Evergreen School District (Clark)	CLARK	Yes	IIS	K -5	459	355	25	2	23	1	0	19	18	17	20	18	22
5064	Global Connections High School	Public	Highline School District	KING	Yes	IIS	9-12	459	451	8	3	5	0	0	5	5	8	8	8	0
3180	Brookdale Elementary	Public	Franklin Pierce School District	PIERCE	Yes	Paper	PK-5	459	388	17	4	12	1	0	10	11	10	10	11	13
3325	Basin City Elementary	Public	North Franklin School District	FRANKLIN	Yes	Paper	K -6	459	444	9	3	7	0	0	4	4	4	3	1	7
3186	Westgate Elementary	Public	Edmonds School District	SNOHOMISH	Yes	XLSCSV	K -6	459	424	32	3	28	1	0	20	20	22	21	23	23
3457	Carter Lake Elementary School	Public	Clover Park School District	PIERCE	Yes	XLSCSV	PK-5	459	448	8	4	3	2	0	5	5	5	5	7	6
2892	Broadway Elementary	Public	Central Valley School District	SPOKANE	Yes	IIS	PK-5	460	430	26	1	23	2	0	18	18	18	23	19	33
4159	Salem Woods Elementary School	Public	Monroe School District	SNOHOMISH	Yes	IIS	PK-5	460	424	36	11	24	1	0	16	18	16	17	24	14
2814	Sunset Elementary	Public	Cheney School District	SPOKANE	Yes	Paper	PK-5	460	399	31	4	27	0	0	21	20	20	16	14	24
3728	Sharpstein Elementary School	Public	Walla Walla Public Schools	WALLA WALLA	Yes	Paper	K -5	460	445	11	0	11	0	0	9	9	9	9	10	10
3409	Cedar Valley Community School	Public	Edmonds School District	SNOHOMISH	Yes	XLSCSV	K -6	460	448	10	2	8	0	0	4	3	5	6	5	6
3646	Boze Elementary School	Public	Tacoma School District	PIERCE	Yes	XLSCSV	PK-5	460	412	10	0	3	7	0	10	3	10	10	10	10
3100	Stevenson Elementary	Public	Bellevue School District	KING	Yes	IIS	K -5	461	407	54	21	33	0	0	23	23	23	26	25	44
3740	Talbot Hill Elementary School	Public	Renton School District	KING	Yes	XLSCSV	K -5	461	428	22	5	17	0	0	14	15	15	14	13	19
